#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered"
1,54,28,81,https://www.linkworld.us/,"Home - Link World",64,24,https://www.123hp-printer-support.com/,,123hp-printer-support.com,,Dofollow,"Link removed","2018-05-19 06:51:50","2018-05-19 06:51:50","2018-05-19 09:16:44",en,0,0,
2,54,28,86,https://www.linkworld.us/,"Home - Link World",72,24,https://www.123hp-printer-support.com/123-hp-com-driver-download-deskjet-1510/,,123hp-printer-support.com,,Dofollow,"Link removed","2018-06-05 11:50:21","2018-06-05 11:50:21","2018-06-05 14:00:58",en,0,0,
3,82,15,0,https://www.ifixit.com/Moderation,"Moderation - iFixit",64,13,https://www.123hp-printer-support.com/,"HP printer, i to have the issues then i referred",https://www.123hp-printer-support.com/,"which solved my issues in an simple way.",Nofollow,"Link removed","2018-06-15 19:36:22","2018-06-15 19:36:22","2018-07-10 17:44:45",en,0.33,4,
4,72,14,0,http://www.lacartes.com/business/123hpprintersupport/719230,"123hpprintersupport - Tampa",76,1,https://www.123hp-printer-support.com/,,https://www.123hp-printer-support.com/,,Dofollow,,"2018-07-13 06:20:40","2018-07-13 06:20:40",,en,1.6,4,
5,73,14,0,https://www.yourlisten.com/123hpprintersupport,"123hpprintersupport - YourListen",29,13,https://www.123hp-printer-support.com/,,123hp-printer-support.com/,,Nofollow,,"2018-06-17 06:16:05","2018-06-17 06:16:05",,en,0,0,
6,75,14,0,https://www.merlot.org/merlot/viewMember.htm?id=1377518,"hpprinter support (Member Profile)",33,12,https://www.123hp-printer-support.com/,,https://www.123hp-printer-support.com/,,Dofollow,,"2018-06-12 03:23:19","2018-06-12 03:23:19",,en,0,0,
7,24,13,0,http://www.freeadsciti.com/services/computer-web-services/hp-deskjet-2542-driver-983654.htm,"Classifieds, Free Classifieds, Online Classifieds, Free Ads | US Ads Citi",61,15,https://www.123hp-printer-support.com/123-hp-com-driver-download-deskjet-2542/,"is the easiest task if you have a proper guidance.","HP DeskJet 2542 driver download","is the first step followed by a sequence of the","Nofollow, Content",,"2018-07-02 12:06:47","2018-07-02 12:06:47",,en,0,0,
8,89,12,0,https://readthedocs.org/projects/123hpprintersupport/,"123hpprintersupport | Read the Docs",13,21,https://www.123hp-printer-support.com/,,https://www.123hp-printer-support.com,,"Nofollow, Content",,"2018-05-20 14:59:58","2018-05-20 14:59:58",,en,0,0,
9,38,12,0,http://www.writeupcafe.com/profile/15424-123hpprintersupport,"Hpprinter support - A social network of writers and bloggers",32,3,https://www.123hp-printer-support.com/,,"123HP Printer, Setup, Installation, Driver Download & Troubleshooting","123HP Printer, Setup, Installation, Driver Download & Troubleshooting","Nofollow, Image",,"2018-05-25 21:13:52","2018-07-11 19:25:29",,en,0,0,
10,42,12,0,http://www.czechtribe.com/classifieds/11239/1407/configuring-hp-desk-jet-1012-printer,"CzechTribe - View Classified - Configuring HP DeskJet 1012 Printer",20,2,https://www.123hp-printer-support.com/123-hp-com-dj-1012/,"support even if the device OS is updated after your","HP Deskjet 1012","printer driver installation. It is better to update your driver","Dofollow, Content",,"2018-06-30 15:05:27","2018-07-08 20:29:10",,en,0,0,
11,82,12,0,"https://jp.ifixit.com/Answers/View/353068/""There+is+a+problem+with+the+printer+or+ink+system""","""There is a problem with the printer or ink system"" - hp Officejet Pro 8600 Plus - iFixit",62,18,https://www.123hp-printer-support.com/,"an problem on automatic duplex scanning. and then i referred",https://www.123hp-printer-support.com/,"and got solution to my problem.",Nofollow,,"2018-06-19 09:10:26","2018-06-19 09:10:26",,,0,0,
12,42,12,0,http://www.czechtribe.com/classifieds/11239/1407/configuring-hp-desk-jet-1012-printer?mobile=1,"CzechTribe - View Classified - Configuring HP DeskJet 1012 Printer",6,2,https://www.123hp-printer-support.com/123-hp-com-dj-1012/,"support even if the device OS is updated after your","HP Deskjet 1012","printer driver installation. It is better to update your driver","Dofollow, Content",,"2018-07-07 11:00:20","2018-07-07 11:00:20",,en,0,0,
13,42,12,0,http://www.czechtribe.com/profile/hpprintersupport?mobile=1,"CzechTribe - Mobile Member Profile - hpprinter support",9,2,https://www.123hp-printer-support.com/,,"123.hp.com|HP Printer Support & Setup|Troubleshooting|Driver Download",,"Dofollow, Image",,"2018-07-08 20:09:20","2018-07-08 20:09:20",,en,0,0,
14,42,12,0,http://www.czechtribe.com/profile/hpprintersupport?mobile=1,"CzechTribe - Mobile Member Profile - hpprinter support",9,2,http://www.123hp-printer-support.com/,,http://www.123hp-printer-support.com/,,Dofollow,,"2018-07-08 20:09:20","2018-07-08 20:09:20",,en,0,0,
15,73,12,0,https://www.yourlisten.com/123hpprintersupport/,"123hpprintersupport - YourListen",29,13,https://www.123hp-printer-support.com/,,123hp-printer-support.com/,,Nofollow,,"2018-06-25 12:59:40","2018-06-25 12:59:40",,en,0,0,
16,42,12,0,http://www.czechtribe.com/profile/hpprintersupport,"CzechTribe - Member Profile - hpprinter support",23,2,https://www.123hp-printer-support.com/,,"Call +1-855-836-0800 to get HP technical support for 123.hp.com Setup,Install,Connect | Download drivers from 123.hp.com/setup for Windows, Mac & Mobile.",,Dofollow,,"2018-07-08 03:43:31","2018-07-16 08:37:41",,en,0,0,
