#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered"
1,37,16,3,https://www.sociopost.com/,"SocioPost.com | Share, Bookmark and Socialize your posts.",101,10,https://www.123-hp-com-officejetpro.com/,,https://www.123-hp-com-officejetpro.com,–,Nofollow,,"2018-06-13 04:14:54","2018-06-13 04:14:54",,en,0,0,
2,92,14,0,https://www.dmca.com/Protection/Status.aspx?ID=186219f9-8b2c-4b8c-9815-cf42a309bfd4,"DMCA Content Protection Service - Protect Your Content",40,8,https://www.123-hp-com-officejetpro.com/,,"HP Officejet Pro setup, install | 123.hp.com/setup | 123.hp.com/officejetpro",,Nofollow,"Link removed","2018-04-03 09:47:59","2018-04-03 09:47:59","2018-07-15 23:44:59",en,0,0,
3,92,13,0,https://www.dmca.com/protection/status.aspx?PAGE_ID=aHR0cHM6Ly93d3cuMTIzLWhwLWNvbS1vZmZpY2VqZXRwcm8uY29tLw2&id=186219f9-8b2c-4b8c-9815-cf42a309bfd4,"HP Officejet Pro setup, install... | Protected by DMCA Protection",36,4,https://www.123-hp-com-officejetpro.com/,,https://www.123-hp-com-officejetpro.com/,,Dofollow,,"2018-05-13 13:37:09","2018-05-13 13:37:09",,en,0,0,
4,90,13,0,http://smithmartyn.strikingly.com/,"HP OfficeJetPro Printer on Strikingly",5,1,https://www.123-hp-com-officejetpro.com/,"For furthermore, queries or assistance on connecting Visit @","HP OfficeJet Pro Printer",,"Dofollow, Content",,"2018-07-02 20:48:31","2018-07-02 20:48:31",,en,0,0,
5,90,13,0,http://smithmartyn.strikingly.com/blog/office-jet-pro-6968-all-in-one-wireless-printer-with-mobile-printing-features,"Office Jet Pro 6968 All-in-One Wireless Printer with Mobile Printing features - HP OfficeJetPro Printer",6,1,https://www.123-hp-com-officejetpro.com/,,"Office Jet Pro 6968 All-in-One Wireless Printer with Mobile Printing features",,Dofollow,,"2018-07-01 19:07:30","2018-07-01 19:07:30",,en,0,0,
6,90,13,0,http://smithmartyn.strikingly.com/blog/hp-officejet-pro-6830-driver-download,"HP OfficeJet Pro 6830 driver download - HP OfficeJetPro Printer",4,1,https://www.123-hp-com-officejetpro.com/,"There are two methods to complete","HP Officejet 6830 driver installation",.,Dofollow,,"2018-07-08 16:09:30","2018-07-08 16:09:30",,en,0,3,
7,90,13,0,http://smithmartyn.strikingly.com/blog/hp-officejet-pro-8710-wireless,"HP - OfficeJet Pro 8710 Wireless - HP OfficeJetPro Printer",4,1,https://www.123-hp-com-officejetpro.com/,"the reviews on our webpage to know more about the","HP Officejet pro wireless printer",.,Dofollow,,"2018-07-08 20:18:46","2018-07-08 20:18:46",,en,0,0,
8,90,13,0,http://smithmartyn.strikingly.com/blog/hp-officejet-pro-printers,"HP OfficeJet Pro Printers - HP OfficeJetPro Printer",4,1,https://www.123-hp-com-officejetpro.com/,"printer. Follow the instructions given here to set up your","HP OfficeJet Pro printers.",,Dofollow,,"2018-07-08 15:42:09","2018-07-08 15:42:09",,en,0,0,
9,90,13,0,http://smithmartyn.strikingly.com/blog/troubleshoot-print-jobs-stuck-in-queue,"Troubleshoot Print jobs stuck in queue - HP OfficeJetPro Printer",4,1,https://www.123-hp-com-officejetpro.com/,,"Troubleshoot Print jobs stuck in queue",,Dofollow,,"2018-07-12 14:14:57","2018-07-12 14:14:57",,en,0,0,
10,70,12,0,http://www.adlandpro.com/ad/39178124/HP-Printer-troubleshooting-error-and-its-solution__Computer_211__around_tampa.aspx,"HP Printer troubleshooting error and ..., Computer in Tampa",40,11,https://www.123-hp-com-officejetpro.com/hp-officejet-pro-6830-driver-download-installation/,,"HP Printer troubleshooting error and its solution",,Nofollow,,"2018-06-24 06:58:54","2018-07-18 14:15:05",,,0,0,
11,70,12,0,http://www.adlandpro.com/ad/39178124/HP-Printer-troubleshooting-error-and-its-solution__Computer_211__around_tampa.aspx,"HP Printer troubleshooting error and ..., Computer in Tampa",40,11,https://www.123-hp-com-officejetpro.com/hp-officejet-pro-8710-all-in-one-printer/,,"HP Printer troubleshooting error and its solution",,Nofollow,,"2018-07-01 09:12:36","2018-07-18 14:15:05",,,0,0,
12,70,12,0,http://www.adlandpro.com/ad/39208505/HP-OfficeJet-Pro-6830-printer-issues__Computer_211__around_tampa.aspx,"HP OfficeJet Pro 6830 printer issues, Computer in Tampa",40,10,https://www.123-hp-com-officejetpro.com/hp-officejet-pro-6830-driver-download-install/,,"HP OfficeJet Pro 6830 printer issues",,Nofollow,,"2018-06-30 13:58:11","2018-07-09 00:36:28",,,0,0,
