#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered"
1,54,28,87,https://www.linkworld.us/,"Home - Link World",64,26,https://www.fxnetworkactivate.com/,,fxnetworkactivate.com,,Dofollow,"Link removed","2018-06-04 10:26:12","2018-06-04 10:26:12","2018-06-04 12:09:40",en,0,0,
2,15,23,32,http://www.4mark.net/,"4mark Social Bookmarking Tool",582,51,https://www.fxnetworkactivate.com/,,"fxnetworks.com/activate - Activate FX Now - FXNetworks Account setup",,"Dofollow, Image","Link removed","2018-06-26 11:26:39","2018-06-26 13:39:32","2018-06-26 15:53:38",en,0,0,
3,77,15,0,http://local.exactseek.com/category/entertainment-social-activities-1-4,"Entertainment & Social Activities ExactSeek - Local Business Directory",56,23,https://www.fxnetworkactivate.com/,,Website,,Nofollow,,"2018-06-02 13:36:09","2018-07-12 09:05:29",,en,0,0,
4,77,15,0,http://local.exactseek.com/category/arts-entertainment-1,"Arts Entertainment ExactSeek - Local Business Directory",55,25,https://www.fxnetworkactivate.com/,,Website,,Nofollow,,"2018-06-03 21:34:05","2018-07-15 18:57:31",,fr,0,0,
5,70,14,0,http://www.expressbusinessdirectory.com/Companies/fxnetworkactivate-C662066,"fxnetworkactivate, 14502 North Dale Mabry Highway Suite 200, Paramount Plaza, tampa, FL 33618, , Tampa, Florida, 33618, United States",81,2,https://www.fxnetworkactivate.com/,,http://www.fxnetworkactivate.com,,Nofollow,,"2018-06-08 18:07:40","2018-06-08 18:07:40",,en,0,0,
6,70,14,0,http://www.expressbusinessdirectory.com/Companies/fxnetworkactivate-C662066,"fxnetworkactivate, 14502 North Dale Mabry Highway Suite 200, Paramount Plaza, tampa, FL 33618, , Tampa, Florida, 33618, United States",81,2,http://www.fxnetworkactivate.com/,,http://www.fxnetworkactivate.com,,Nofollow,,"2018-06-08 18:07:40","2018-06-08 18:07:40",,en,0,0,
7,53,14,3,http://blurpalicious.com/recent/,"Recent Entries - Blurpalicious",118,12,https://www.fxnetworkactivate.com/,"good speed network connection. You can click on the link",fx.network/activate,"to enter the activation code. Once you enter the code,",Nofollow,,"2018-07-13 09:48:37","2018-07-13 09:48:37",,id,0,0,
8,77,14,0,http://local.exactseek.com/category/computers-software-electronics-1-1-12,"Computers, Software & Electronics ExactSeek - Local Business Directory",76,23,https://www.fxnetworkactivate.com/,,Website,,Nofollow,"Link removed","2018-06-04 18:23:54","2018-06-12 23:57:56","2018-06-21 03:13:50",en,0,0,
9,77,14,0,http://local.exactseek.com/detail/fxnetworkactivate-494751,"fxnetworkactivate in Tampa - Florida United States ExactSeek - Local Business Directory",38,18,https://www.fxnetworkactivate.com/,,https://www.fxnetworkactivate.com/,,Nofollow,,"2018-06-02 02:23:29","2018-07-12 05:26:30",,en,0,0,
10,38,13,0,http://www.gabbleworld.com/members?extra[has_photo]=&extra[is_online]=&page=6,"GabbleWorld - Member Browse",36,6,https://www.fxnetworkactivate.com/activate-fx-networks-on-roku/,"Delila Gribanov",https://www.fxnetworkactivate.com/activate-fx-networks-on-roku/,,Nofollow,,"2018-07-18 20:54:27","2018-07-18 20:54:27",,en,0,0,
