#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered"
1,15,23,32,http://www.4mark.net/,"4mark Social Bookmarking Tool",582,50,https://www.gorokuhdcp.com/,,"Roku.com/hdcp - Troubleshoot unauthorized Roku HDCP Error",,"Dofollow, Image","Link removed","2018-06-26 11:26:39","2018-06-26 15:53:38","2018-06-26 18:08:07",en,0,0,
2,71,19,13,http://www.fixya.com/troubleshoot/browse/televisions_video,"Televison & Video Repair Questions, Solutions & Tips - Fixya",89,13,https://www.gorokuhdcp.com/roku-universal-remote/,"Visit the blog",https://www.gorokuhdcp.com/roku-universal-remote/,,Nofollow,"Link removed","2018-04-20 13:39:40","2018-04-20 13:39:40","2018-04-20 15:36:24",en,1.0,113,
3,77,14,1,http://local.exactseek.com/category/computers-software-electronics-1-1-12,"Computers, Software & Electronics ExactSeek - Local Business Directory",76,23,https://www.gorokuhdcp.com/,,Website,,Nofollow,"Link removed","2018-05-12 07:13:03","2018-05-20 13:17:43","2018-05-28 05:03:33",,0,0,
4,77,14,0,http://local.exactseek.com/category/internet-service-254,"Internet Service ExactSeek - Local Business Directory",55,24,https://www.gorokuhdcp.com/,,Website,,Nofollow,,"2018-05-04 10:35:12","2018-07-12 17:10:59",,en,0,0,
5,77,13,0,http://local.exactseek.com/category/technical-support-261,"Technical Support ExactSeek - Local Business Directory",56,24,https://www.gorokuhdcp.com/,,Website,,Nofollow,,"2018-05-09 09:13:10","2018-07-12 12:42:12",,en,0,0,
6,77,13,0,http://local.exactseek.com/category/electronics-consultant-249,"Electronics Consultant ExactSeek - Local Business Directory",56,24,https://www.gorokuhdcp.com/,,Website,,Nofollow,,"2018-05-06 21:28:19","2018-07-20 04:12:13",,en,0,0,
7,77,13,0,http://local.exactseek.com/category/tv-and-stereo-265,"TV & Stereo ExactSeek - Local Business Directory",55,25,https://www.gorokuhdcp.com/,,Website,,Nofollow,,"2018-05-11 23:59:39","2018-07-16 18:30:37",,en,0,0,
8,71,13,1,http://www.fixya.com/support/p13106734-roku_3,"20 Most Recent Roku 3 Questions & Answers - Fixya",70,24,https://www.gorokuhdcp.com/roku-universal-remote/,"Visit the blog",https://www.gorokuhdcp.com/roku-universal-remote/,,Nofollow,,"2018-06-29 21:49:35","2018-06-29 21:49:35",,en,0,0,
9,77,13,0,http://local.exactseek.com/location/tampa-3930,"Tampa Companies ExactSeek - Local Business Directory",56,22,https://www.gorokuhdcp.com/,,Website,,Nofollow,,"2018-05-07 20:37:15","2018-07-12 11:30:40",,en,0,0,
10,78,12,0,http://www.bizcommunity.com/Profile/GorokuHDCP/c-544,"Goroku HDCP",461,21,https://www.gorokuhdcp.com/,,www.gorokuhdcp.com,,Nofollow,,"2018-05-12 06:56:25","2018-05-12 06:56:25",,en,0,0,
11,78,12,0,http://www.bizcommunity.com/Profile/GorokuHDCP/c-544,"Goroku HDCP",461,21,http://www.gorokuhdcp.com/,,www.gorokuhdcp.com,,Nofollow,,"2018-05-12 06:56:25","2018-05-12 06:56:25",,en,0,0,
12,77,12,0,http://local.exactseek.com/detail/go-roku-hdcp-494628,"Go Roku HDCP in Tampa - Florida United States ExactSeek - Local Business Directory",34,18,https://www.gorokuhdcp.com/,,https://www.gorokuhdcp.com/,,Nofollow,,"2018-05-12 03:36:30","2018-07-19 00:16:22",,en,0,0,
13,42,12,0,http://www.czechtribe.com/profile/gorokuhdcp,"CzechTribe - Member Profile - Payton Christie",22,3,https://www.gorokuhdcp.com/,,http://www.gorokuhdcp.com/,,Dofollow,,"2018-07-14 19:17:47","2018-07-14 19:17:47",,en,0,0,
14,42,12,0,http://www.czechtribe.com/profile/gorokuhdcp,"CzechTribe - Member Profile - Payton Christie",22,3,http://www.gorokuhdcp.com/,,http://www.gorokuhdcp.com/,,Dofollow,,"2018-07-14 19:17:47","2018-07-14 19:17:47",,en,0,0,
15,31,12,0,https://hub.fm/get-access-to-rokus-universal-remote-52710.html,"Get Access to Roku’s Universal Remote | TECH | hub.fm",8,5,https://www.gorokuhdcp.com/,Website:,https://www.gorokuhdcp.com/,,"Dofollow, Content",,"2018-04-23 18:54:49","2018-07-18 00:18:08",,en,0,0,
16,38,12,0,http://gabbleworld.com/profile/gorokuhdcp,"GabbleWorld - Member Profile - Payton Christie",19,11,https://www.gorokuhdcp.com/,,http://www.gorokuhdcp.com/,,Dofollow,,"2018-06-08 15:04:02","2018-06-16 08:57:16",,en,0,0,
17,38,12,0,http://gabbleworld.com/profile/gorokuhdcp,"GabbleWorld - Member Profile - Payton Christie",19,11,http://www.gorokuhdcp.com/,,http://www.gorokuhdcp.com/,,Dofollow,,"2018-06-08 15:04:02","2018-06-16 08:57:16",,en,0,0,
18,75,12,0,https://www.merlot.org/merlot/viewMember.htm?id=1376134,"Goroku HDCP (Member Profile)",31,13,https://www.gorokuhdcp.com/,,https://www.gorokuhdcp.com/,,Dofollow,,"2018-05-05 06:29:42","2018-05-05 06:29:42",,en,0,0,
19,77,11,0,http://local.exactseek.com/category/computers-software-electronics-1-1-12/30,"Computers, Software & Electronics ExactSeek - Local Business Directory",78,24,https://www.gorokuhdcp.com/,,Website,,Nofollow,,"2018-07-11 17:11:57","2018-07-20 05:21:46",,en,0,0,
20,54,11,0,https://funadvice.com/gorokuhdcp,"gorokuhdcp | Funadvice",32,1,https://www.gorokuhdcp.com/,,https://www.gorokuhdcp.com/,,Dofollow,,"2018-06-16 03:45:03","2018-06-16 03:45:03",,en,0,0,
21,24,11,0,http://www.freeadsciti.com/services/computer-web-services/activate-new-channels-on-roku-955948.htm,"Classifieds, Free Classifieds, Online Classifieds, Free Ads | US Ads Citi",58,15,https://www.gorokuhdcp.com/,"well connect Streaming media player to the same network with",go.roku.com/hdcp,".Kodi is a channel that allows watching all the contents","Nofollow, Content",,"2018-06-02 16:04:41","2018-06-02 16:04:41",,en,0,0,
22,42,11,0,http://www.czechtribe.com/classifieds/11547/1545/get-rid-of-the-hdcp-error-on-your-roku,"CzechTribe - View Classified - Get rid of the HDCP error on your roku",20,2,https://www.gorokuhdcp.com/,"Protection (HDCP) is used for digital services as said on",go.roku.com/hdcp,". The freshly structured HDCP 2.2 is designed for 4k",Dofollow,,"2018-07-14 14:01:52","2018-07-14 14:01:52",,,0,0,
23,77,11,0,http://local.exactseek.com/category/computers-software-electronics-1-1-12/20,"Computers, Software & Electronics ExactSeek - Local Business Directory",78,24,https://www.gorokuhdcp.com/,,Website,,Nofollow,"Link removed","2018-06-17 09:23:00","2018-07-03 12:11:53","2018-07-11 20:36:22",en,0,0,
24,77,11,0,http://local.exactseek.com/category/computers-software-electronics-1-1-12/10,"Computers, Software & Electronics ExactSeek - Local Business Directory",77,23,https://www.gorokuhdcp.com/,,Website,,Nofollow,"Link removed","2018-06-02 09:40:45","2018-06-09 23:35:46","2018-06-18 09:35:44",en,0,0,
25,75,11,0,https://seositecheckup.com/seo-audit/www.gorokuhdcp.com,"www.gorokuhdcp.com SEO Report | SeoSiteCheckup.com",14,4,https://www.gorokuhdcp.com/,,http://www.gorokuhdcp.com,,Dofollow,,"2018-05-26 19:39:07","2018-06-23 14:36:50",,en,0,0,
26,75,11,0,https://seositecheckup.com/seo-audit/www.gorokuhdcp.com,"www.gorokuhdcp.com SEO Report | SeoSiteCheckup.com",14,4,http://www.gorokuhdcp.com/,,http://www.gorokuhdcp.com,,Dofollow,,"2018-05-26 19:39:07","2018-06-23 14:36:50",,en,0,0,
27,28,11,1,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/,"Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories",120,51,https://www.gorokuhdcp.com/,"about the Roku streaming stick which can be activated using","Roku com link",,Nofollow,,"2018-05-10 21:50:53","2018-07-17 09:51:14",,en,0.02,26,
28,62,11,0,https://www.linkcentre.com/electronics/televisions/2/,"Televisions Directory at Link Centre Worldwide Edition - page 2",106,43,https://www.gorokuhdcp.com/,,"Go Roku HDCP",,"Dofollow, Content",,"2018-07-03 12:40:10","2018-07-19 01:24:14",,en,0,0,
29,15,11,0,http://www.4mark.net/category/5471/computer,"Recent links of category computer",573,52,https://www.gorokuhdcp.com/,,"Roku.com/hdcp - Troubleshoot unauthorized Roku HDCP Error",,"Dofollow, Image",,"2018-06-27 12:35:28","2018-07-14 03:02:18",,en,0,0,
30,40,11,0,http://leeds.photoads.co.uk/services/computer/132718-Get-24-7-Technical-Support-Help-for-Roku.html,"Leeds : Get 24*7 Technical Support Help for Roku Free Ads Classified Ads buy and sell online",173,19,https://www.gorokuhdcp.com/,,go.roku.com/hdcp,.,"Nofollow, Content",,"2018-06-26 15:19:56","2018-07-20 04:56:23",,en,0,0,
31,71,11,0,http://www.fixya.com/support/t26299254-use_roku_remote,"SOLVED: How do I use my Roku remote? - Fixya",64,9,https://www.gorokuhdcp.com/roku-universal-remote,,"Control Your Device Using Roku Universal Remote",,Nofollow,,"2018-06-20 14:28:48","2018-06-20 14:28:48",,en,0,0,
32,71,11,0,http://www.fixya.com/support/t26299254-use_roku_remote,"SOLVED: How do I use my Roku remote? - Fixya",64,9,https://www.gorokuhdcp.com/roku-universal-remote/,"Visit the blog",https://www.gorokuhdcp.com/roku-universal-remote/,,Nofollow,,"2018-06-20 14:28:48","2018-06-20 14:28:48",,en,0,0,
33,71,11,0,http://www.fixya.com/support/p13106734-roku_3/solutions,"Answered Roku 3 Questions & Issues - Fixya",69,25,https://www.gorokuhdcp.com/roku-universal-remote/,"Visit the blog",https://www.gorokuhdcp.com/roku-universal-remote/,,Nofollow,,"2018-05-27 16:57:40","2018-05-27 16:57:40",,en,0,0,
