#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered"
1,89,12,0,https://readthedocs.org/projects/cheap-tickets-flight/,"Cheap Tickets Flight | Read the Docs",11,18,https://www.cheap-tickets-flights.com/,,https://www.cheap-tickets-flights.com/,,"Nofollow, Content",,"2018-06-13 20:40:13","2018-06-13 20:40:13",,en,0,0,
2,78,12,0,http://www.folkd.com/tag/cheap-tickets,"cheap-tickets | folkd.com",142,29,https://www.cheap-tickets-flights.com/,,"Cheap Flights, Cheap Tickets, Cheap Flights with Last Minute Ch",,Dofollow,,"2018-05-31 23:52:16","2018-05-31 23:52:16",,en,0,0,
3,52,11,1,http://www.factbites.com/topics/List-of-cities-in-Brazil,"List of cities in Brazil - Factbites",34,34,https://www.cheap-tickets-flights.com/air/cheap-flights_brazil_0.html,,"Cheap Flights to Brazil - list of Brazil cities :: Page-1",,Dofollow,,"2018-04-20 03:02:02","2018-07-16 09:24:59",,,0,0,
4,52,11,1,http://www.factbites.com/topics/List-of-cities-in-Brazil,"List of cities in Brazil - Factbites",34,34,http://www.cheap-tickets-flights.com/air/cheap-flights_brazil_0.html,,"Cheap Flights to Brazil - list of Brazil cities :: Page-1",,Dofollow,,"2018-04-20 03:02:02","2018-07-16 09:24:59",,,0,0,
5,77,11,0,https://aboutus.com/Cheap-Tickets-Flights.com,"Cheap-Tickets-Flights.com - AboutUs",44,13,https://www.cheap-tickets-flights.com/about.php,,"read more",,Nofollow,,"2017-09-30 16:01:50","2018-01-23 09:53:42",,en,0,0,
6,77,11,0,https://aboutus.com/Cheap-Tickets-Flights.com,"Cheap-Tickets-Flights.com - AboutUs",44,13,http://www.cheap-tickets-flights.com/about.php,,"read more",,Nofollow,,"2017-06-04 10:09:31","2018-01-23 09:53:42",,en,0,0,
7,78,11,0,http://www.folkd.com/user/CatherineSteven,"CatherineSteven | user details | folkd.com",39,4,https://www.cheap-tickets-flights.com/,,"Cheap Flights, Cheap Tickets, Cheap Flights with Last Minute Ch",,"Dofollow, Content",,"2018-06-19 08:13:29","2018-06-19 08:13:29",,en,0,0,
8,52,11,1,http://www.factbites.com/topics/List-of-cities-in-Ireland,"List of cities in Ireland - Factbites",29,13,https://www.cheap-tickets-flights.com/air/cheap-flights_ireland_0.html,,"Cheap Flights to Ireland - list of Ireland cities",,Dofollow,,"2017-10-08 08:50:32","2018-06-09 03:08:35",,,0,0,
9,52,11,1,http://www.factbites.com/topics/List-of-cities-in-Ireland,"List of cities in Ireland - Factbites",29,13,http://www.cheap-tickets-flights.com/air/cheap-flights_ireland_0.html,,"Cheap Flights to Ireland - list of Ireland cities",,Dofollow,,"2013-08-19 06:55:52","2018-06-09 03:08:35",,,0,0,
10,52,11,1,http://www.factbites.com/topics/List-of-cities-in-Belgium,"List of cities in Belgium - Factbites",33,46,https://www.cheap-tickets-flights.com/air/cheap-flights_belgium_0.html,,"Cheap Flights to Belgium - list of Belgium cities",,Dofollow,,"2017-10-28 03:28:44","2018-06-20 08:49:17",,,0,0,
