Page score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Frame,Form,First seen,Last seen
63,Public timeline - The Top Link,http://ttlink.com/,https://www.rokuaccountlink.com/voice-search-roku-app-download/,Download Voice Search App On roku,29,245,FALSE,FALSE,FALSE,6/19/2018,6/19/2018
63,Public timeline - The Top Link,http://ttlink.com/,https://www.rokuaccountlink.com/roku-streaming-stick/,Roku Streaming Features,29,278,FALSE,FALSE,FALSE,6/11/2018,6/16/2018
63,Public timeline - The Top Link,http://ttlink.com/,https://www.rokuaccountlink.com/improve-the-wireless-connection-roku/,Improve Roku Connectivity Issues,31,188,FALSE,FALSE,FALSE,7/5/2018,7/5/2018
16,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,60,156,TRUE,FALSE,FALSE,5/28/2018,7/4/2018
2,BEANTWORTET: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://de.ifixit.com/Antworten/Ansehen/218254/Why+won't+my+Roku+turn+on#answer453409,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/15/2018,6/15/2018
2,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-305685,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,60,156,TRUE,FALSE,FALSE,5/25/2018,6/29/2018
2,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#respond,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,66,157,TRUE,FALSE,FALSE,6/5/2018,6/24/2018
2,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-305883,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,66,157,TRUE,FALSE,FALSE,6/5/2018,6/24/2018
1,Gifts to Give and Get: Roku Streaming Stick | Swept Away TV-The Rock Star Stories,http://www.sweptawaytv.com/youth-media/gifts-to-give-and-get-roku-streaming-stick/#comment-306019,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com/,66,158,TRUE,FALSE,FALSE,6/10/2018,6/24/2018
1,BEANTWORTET: Why won't my Roku turn on? - Roku XD 2050X - iFixit,https://de.ifixit.com/Antworten/Ansehen/218254/Why+won't+my+Roku+turn+on#menu,https://www.rokuaccountlink.com/,https://www.rokuaccountlink.com,8,164,TRUE,FALSE,FALSE,6/16/2018,6/16/2018
