SourceURL,SourceTitle,AnchorText,SourceTrustFlow,SourceCitationFlow,SourceLanguage,SourceLanguageDesc,SourceLanguageConfidence,SourceOutLinksInternal,SourceOutLinksExternal,TotalOutlinks,SourceOutDomainsExternal,Domain,DomainTrustFlow,DomainCitationFlow,FirstIndexedDate,LinkType,LinkSubType,TargetURL,TargetTrustFlow,TargetCitationFlow,FlagRedirect,FlagFrame,FlagNoFollow,FlagImages,FlagDeleted,FlagAltText,LastSeenDate,FlagMention,DateLost,ReasonLost,SourceTopicalTrustFlow_Topic_0,SourceTopicalTrustFlow_Value_0,SourceTopicalTrustFlow_Topic_1,SourceTopicalTrustFlow_Value_1,SourceTopicalTrustFlow_Topic_2,SourceTopicalTrustFlow_Value_2,DomainTopicalTrustFlow_Topic_0,DomainTopicalTrustFlow_Value_0,DomainTopicalTrustFlow_Topic_1,DomainTopicalTrustFlow_Value_1,DomainTopicalTrustFlow_Topic_2,DomainTopicalTrustFlow_Value_2,DomainTopicalTrustFlow_Topic_3,DomainTopicalTrustFlow_Value_3,DomainTopicalTrustFlow_Topic_4,DomainTopicalTrustFlow_Value_4,DomainTopicalTrustFlow_Topic_5,DomainTopicalTrustFlow_Value_5,DomainTopicalTrustFlow_Topic_6,DomainTopicalTrustFlow_Value_6,DomainTopicalTrustFlow_Topic_7,DomainTopicalTrustFlow_Value_7,DomainTopicalTrustFlow_Topic_8,DomainTopicalTrustFlow_Value_8,DomainTopicalTrustFlow_Topic_9,DomainTopicalTrustFlow_Value_9,TargetTopicalTrustFlow_Topic_0,TargetTopicalTrustFlow_Value_0,InBucket
http://www.fixya.com/troubleshoot/browse/televisions_video,"Televison & Video Repair Questions, Solutions & Tips - Fixya",roku account setup,43,42,en,English,99,91,13,104,7,fixya.com,55,58,21/05/2018 00:00,TextLink,TextLink_Normal,https://www.rokuactivationcode.com/,5,40,0,0,1,0,1,0,21/05/2018 00:00,0,1/7/2018 0:00,DownloadedSuccessfully,Home/Consumer Information,43,Shopping/Consumer Electronics,18,,,Home/Consumer Information,55,Computers/Internet/Web Design and Development,20,Shopping/Consumer Electronics,17,Computers/Internet/Searching,16,,,,,,,,,,,,,,,FALSE
http://ajr.org/2014/04/15/copy-editors-in-digital-world/,Will Automated Copy Editors Replace Human Ones? - American Journalism Review,http://www.rokuactivationcode.com,41,39,en,English,99,55,1360,1415,649,ajr.org,55,45,16/06/2018 00:00,TextLink,TextLink_Normal,http://www.rokuactivationcode.com/,4,27,0,0,1,0,1,0,16/06/2018 00:00,0,1/7/2018 0:00,DownloadedSuccessfully,News/Journalism,41,Arts/Writers Resources,17,Arts/Humanities,17,News/Journalism,55,Arts/Humanities,22,News/Media Industry,19,Arts/Writers Resources,18,Computers/Internet/On the Web,17,Business/Marketing and Advertising,17,Reference/Education,17,News/Directories,17,Science/Social Sciences,16,,,,,FALSE
https://thewirecutter.com/comments/feed/,Comments for Wirecutter: Reviews for the Real World,https://www.rokuactivationcode.com/,27,49,en,English,99,0,3,3,3,thewirecutter.com,35,59,8/4/2018 0:00,TextLink,TextLink_Normal,https://www.rokuactivationcode.com/,5,40,0,0,1,0,1,0,8/4/2018 0:00,0,1/7/2018 0:00,DownloadedSuccessfully,Society/People,25,Computers/Programming/Component Frameworks,22,Society,21,Society/People,28,Computers/Programming/Component Frameworks,26,Home/Consumer Information,25,Shopping/Health,25,Society,24,News/Journalism,22,Computers/Software/Internet,22,Business/Real Estate,22,Computers/Data Communications,21,Computers/Systems,21,,,FALSE
http://application.247ebookmark.com/,My Site - Your Source for Social News and Networking,https://www.rokuactivationcode.com,14,43,en,English,99,78,30,108,20,247ebookmark.com,11,41,11/4/2018 0:00,TextLink,TextLink_Normal,https://www.rokuactivationcode.com/,5,40,0,0,0,0,1,0,12/4/2018 0:00,0,25/06/2018 00:00,DownloadedSuccessfully,Computers/Internet/Web Design and Development,14,Society/Issues,9,Shopping/Entertainment,7,Computers/Internet/Web Design and Development,11,Computers/Internet/On the Web,8,Arts/Animation,6,Society/Issues,6,Society,5,Arts/Literature,5,Society/Religion and Spirituality,5,Society/Gay  Lesbian  and Bisexual,5,Shopping/Entertainment,5,Sports/Martial Arts,5,,,FALSE
http://www.4mark.net/,4mark Social Bookmarking Tool,roku | common issues with roku | roku troubleshoot,22,33,en,English,96,580,49,629,35,4mark.net,19,29,26/06/2018 00:00,TextLink,TextLink_Normal,https://www.rokuactivationcode.com/common-issues-with-roku-com-link,0,22,0,0,0,0,1,0,26/06/2018 00:00,0,1/7/2018 0:00,DownloadedSuccessfully,Recreation/Travel,22,Sports/Basketball,9,Computers/Chats and Forums,9,Recreation/Travel,19,Recreation/Aviation,9,Sports/Basketball,8,Shopping/Entertainment,8,Computers/Chats and Forums,8,Shopping/Home and Garden,7,Arts/Visual Arts,7,Games/Video Games/Driving and Racing,7,Recreation/Humor,7,,,,,FALSE
https://www.dmca.com/Protection/Status.aspx?ID=4091b014-d53c-4821-bee3-488078583709,DMCA Content Protection Service - Protect Your Content,roku.com/link | support for www.roku.com/link | activate roku com link,10,42,en,English,99,38,8,46,4,dmca.com,61,76,4/3/2018 0:00,TextLink,TextLink_Normal,http://www.rokuactivationcode.com/,4,27,0,0,1,0,1,0,3/5/2018 0:00,0,1/7/2018 0:00,DownloadedSuccessfully,Computers/Internet/On the Web,10,Reference/Education,6,Business,4,Society/Religion and Spirituality,43,Computers/Internet/Web Design and Development,38,Shopping/Consumer Electronics,37,Computers/Internet,37,Recreation/Travel,37,Business,35,Games/Gambling,32,Computers/Software/Office Suites,31,Society/Law,31,Reference/Education,30,,,FALSE
http://www.itgeeg.com/comments/feed/,Comments for IT Geeg,https://www.rokuactivationcode.com/new-roku-streaming-player-lineup/,16,35,en,English,99,0,9,9,7,itgeeg.com,15,35,13/03/2018 00:00,TextLink,TextLink_Normal,https://www.rokuactivationcode.com/new-roku-streaming-player-lineup,0,0,0,0,1,0,0,0,1/7/2018 0:00,0,,,Society/Law,16,Arts/Performing Arts,9,Adult/World,8,Society/Law,14,Arts/Performing Arts,13,Adult/World,11,Computers/Internet/Searching,9,Arts/Music,8,Reference/Libraries,8,Society/Issues,8,Regional/Asia,7,Society/Politics,6,Society,6,,,FALSE
http://blurpalicious.com/roku com link/,Roku Com Link - Blurpalicious,roku customer service,12,33,en,English,88,151,10,161,9,blurpalicious.com,18,46,22/03/2018 00:00,TextLink,TextLink_Normal_HighContent,https://www.rokuactivationcode.com/,5,40,0,0,0,0,1,0,22/03/2018 00:00,0,29/06/2018 00:00,DownloadedSuccessfully,Arts/Illustration,12,Sports/Cycling,9,Adult/World,9,Arts/Visual Arts,16,Arts/Illustration,15,Reference/Libraries,14,News/Journalism,14,Business/Industrial Goods and Services,13,Adult/World,12,Business/Investing,12,Games/Video Games/Developers and Publishers,11,Arts/Music,11,Sports/Cycling,11,,,FALSE
http://www.classifriedads.org/0/posts/4-Gigs/33-Computer/31926-Activate-your-Roku-device.html,Activate your Roku device - ClassiFRIEDads.org,roku com link,1,42,en,English,99,31,2,33,2,classifriedads.org,4,58,19/06/2018 00:00,TextLink,TextLink_Normal,https://www.rokuactivationcode.com/,5,40,0,0,0,0,0,0,19/06/2018 00:00,0,,,Computers/Internet/Domain Names,1,,,,,Society/Politics,4,Society/People,3,Society/Gay  Lesbian  and Bisexual,3,Computers/Programming/Languages,3,Society/Government,3,Sports/Boxing,3,Regional/Europe,3,Arts/Movies,2,Computers/Internet/Domain Names,2,Arts/Visual Arts,2,,,FALSE
https://hd-report.com/roku-channels/,Roku Channels – HD Report,katherine melinda,12,31,en,English,99,124,14,138,7,hd-report.com,13,35,21/05/2018 00:00,TextLink,TextLink_Normal,https://www.rokuactivationcode.com/,5,40,0,0,1,0,0,0,23/06/2018 00:00,0,,,Home/Consumer Information,12,Society/Law,10,Recreation/Antiques,8,Home/Consumer Information,13,Society/Law,10,Recreation/Antiques,9,Computers/Internet/Searching,9,Home/Home Improvement,9,Society/History,8,Arts/Photography,7,Arts/Television,7,Arts/Music,6,Sports/Football,6,,,FALSE
